name,trainer,Analytic_W1,Independent_W1,Determined_W1,Professional_W1,Studious_W1,Imaginative_W1,Analytic_W2,Independent_W2,Determined_W2,Professional_W2,Studious_W2,Imaginative_W2,Analytic_W3,Independent_W3,Determined_W3,Professional_W3,Studious_W3,Imaginative_W3,Analytic_W4,Independent_W4,Determined_W4,Professional_W4,Studious_W4,Imaginative_W4,Analytic_W5,Independent_W5,Determined_W5,Professional_W5,Studious_W5,Imaginative_W5,Analytic_W6,Independent_W6,Determined_W6,Professional_W6,Studious_W6,Imaginative_W6,Analytic_W7,Independent_W7,Determined_W7,Professional_W7,Studious_W7,Imaginative_W7,Analytic_W8,Independent_W8,Determined_W8,Professional_W8,Studious_W8,Imaginative_W8,courselength,firstname,lastname,trainerfirstname,trainerlastname,course,coursestartdate,Analytic_W9,Independent_W9,Determined_W9,Professional_W9,Studious_W9,Imaginative_W9,Analytic_W10,Independent_W10,Determined_W10,Professional_W10,Studious_W10,Imaginative_W10
"('Sherlocke', 'Baselio')","('Rachel', 'Richard')",2,5,3,4,5,2,3.0,7.0,6.0,2.0,1.0,2.0,1.0,3.0,6.0,3.0,1.0,4.0,8.0,5.0,4.0,3.0,2.0,8.0,8.0,6.0,4.0,4.0,5.0,6.0,8.0,5.0,7.0,5.0,6.0,7.0,7.0,8.0,8.0,7.0,8.0,8.0,7.0,8.0,8.0,8.0,8.0,8.0,8,Sherlocke,Baselio,Rachel,Richard,Business 24,2019-07-15,,,,,,,,,,,,
"('Keen', 'Tripony')","('Rachel', 'Richard')",5,1,3,1,3,6,3.0,2.0,2.0,1.0,4.0,5.0,4.0,4.0,2.0,2.0,5.0,1.0,4.0,4.0,5.0,5.0,7.0,4.0,5.0,6.0,8.0,7.0,7.0,7.0,8.0,7.0,8.0,6.0,8.0,4.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,3.0,8.0,8.0,8.0,8.0,8,Keen,Tripony,Rachel,Richard,Business 24,2019-07-15,,,,,,,,,,,,
"('Collete', 'Causbey')","('Rachel', 'Richard')",1,7,3,2,3,3,4.0,1.0,6.0,5.0,2.0,3.0,2.0,4.0,3.0,3.0,2.0,1.0,3.0,6.0,8.0,3.0,8.0,8.0,4.0,2.0,6.0,4.0,8.0,5.0,6.0,8.0,8.0,6.0,3.0,3.0,8.0,8.0,8.0,3.0,8.0,7.0,5.0,8.0,8.0,8.0,8.0,6.0,8,Collete,Causbey,Rachel,Richard,Business 24,2019-07-15,,,,,,,,,,,,
"('Gabi', 'Ivins')","('Gregor', 'Gomez')",4,1,6,2,1,1,3.0,2.0,2.0,2.0,5.0,2.0,4.0,1.0,6.0,2.0,3.0,5.0,6.0,7.0,6.0,4.0,3.0,2.0,8.0,5.0,3.0,4.0,3.0,7.0,1.0,8.0,8.0,8.0,4.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,8.0,8.0,8.0,8.0,10,Gabi,Ivins,Gregor,Gomez,Business 25,2019-07-29,8.0,8.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
"('Melodee', 'Crippen')","('Gregor', 'Gomez')",4,2,5,1,1,3,3.0,3.0,3.0,3.0,3.0,1.0,3.0,2.0,6.0,1.0,5.0,4.0,6.0,3.0,1.0,7.0,6.0,6.0,8.0,3.0,5.0,3.0,8.0,5.0,6.0,8.0,5.0,5.0,8.0,1.0,8.0,8.0,5.0,4.0,7.0,8.0,8.0,8.0,6.0,8.0,8.0,8.0,10,Melodee,Crippen,Gregor,Gomez,Business 25,2019-07-29,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,8.0,8.0
"('Wilt', 'Gotliffe')","('Gregor', 'Gomez')",1,5,4,2,1,3,1.0,3.0,1.0,2.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,Wilt,Gotliffe,Gregor,Gomez,Business 25,2019-07-29,,,,,,,,,,,,
"('Mela', 'Burgill')","('Gregor', 'Gomez')",1,7,2,2,3,5,5.0,1.0,1.0,5.0,3.0,3.0,2.0,4.0,5.0,2.0,2.0,4.0,8.0,8.0,8.0,6.0,4.0,6.0,6.0,6.0,3.0,8.0,5.0,6.0,8.0,3.0,3.0,5.0,7.0,6.0,4.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,4.0,8.0,3.0,8.0,10,Mela,Burgill,Gregor,Gomez,Business 25,2019-07-29,8.0,6.0,3.0,8.0,8.0,7.0,8.0,8.0,2.0,6.0,8.0,8.0
"('Uriel', 'Eidelman')","('Gregor', 'Gomez')",8,2,3,6,4,4,2.0,1.0,3.0,4.0,3.0,4.0,1.0,1.0,6.0,2.0,4.0,2.0,8.0,4.0,8.0,4.0,8.0,8.0,8.0,7.0,6.0,8.0,5.0,7.0,3.0,6.0,6.0,6.0,5.0,5.0,8.0,8.0,7.0,8.0,8.0,8.0,8.0,6.0,8.0,8.0,8.0,7.0,10,Uriel,Eidelman,Gregor,Gomez,Business 25,2019-07-29,7.0,8.0,8.0,8.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
"('Vivienne', 'Blakelock')","('Gregor', 'Gomez')",2,7,1,6,5,4,2.0,3.0,1.0,1.0,4.0,1.0,1.0,4.0,2.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,Vivienne,Blakelock,Gregor,Gomez,Business 25,2019-07-29,,,,,,,,,,,,
"('Auberon', 'Werny')","('Gregor', 'Gomez')",5,5,6,5,4,2,4.0,5.0,4.0,5.0,4.0,3.0,3.0,2.0,1.0,3.0,4.0,4.0,7.0,7.0,5.0,1.0,6.0,8.0,6.0,8.0,8.0,5.0,5.0,8.0,3.0,5.0,6.0,7.0,8.0,7.0,8.0,8.0,6.0,6.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,10,Auberon,Werny,Gregor,Gomez,Business 25,2019-07-29,8.0,7.0,8.0,8.0,8.0,6.0,8.0,8.0,8.0,8.0,8.0,8.0
"('Nikolaus', 'Gullefant')","('Gregor', 'Gomez')",1,5,4,4,3,6,4.0,4.0,3.0,1.0,2.0,2.0,2.0,3.0,6.0,1.0,5.0,1.0,3.0,7.0,3.0,2.0,6.0,3.0,6.0,4.0,7.0,7.0,8.0,7.0,8.0,6.0,8.0,7.0,4.0,5.0,8.0,8.0,6.0,8.0,8.0,8.0,7.0,4.0,8.0,8.0,8.0,8.0,10,Nikolaus,Gullefant,Gregor,Gomez,Business 25,2019-07-29,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
"('Prentice', 'Van Der Hoeven')","('Gregor', 'Gomez')",3,2,4,3,1,4,3.0,3.0,5.0,1.0,2.0,1.0,2.0,5.0,3.0,3.0,3.0,4.0,4.0,8.0,4.0,1.0,4.0,5.0,6.0,4.0,5.0,4.0,1.0,5.0,6.0,6.0,8.0,6.0,3.0,5.0,8.0,8.0,8.0,8.0,7.0,8.0,8.0,7.0,4.0,8.0,8.0,5.0,10,Prentice,Van Der Hoeven,Gregor,Gomez,Business 25,2019-07-29,8.0,6.0,8.0,8.0,8.0,5.0,8.0,8.0,8.0,8.0,8.0,8.0
"('Alikee', 'Sawood')","('Gregor', 'Gomez')",2,4,4,1,3,7,1.0,3.0,4.0,3.0,1.0,3.0,2.0,1.0,2.0,2.0,5.0,3.0,8.0,6.0,7.0,8.0,4.0,5.0,7.0,8.0,7.0,8.0,4.0,4.0,3.0,2.0,7.0,6.0,5.0,8.0,6.0,7.0,8.0,8.0,7.0,8.0,8.0,4.0,8.0,4.0,8.0,8.0,10,Alikee,Sawood,Gregor,Gomez,Business 25,2019-07-29,8.0,5.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
"('Guido', 'Lassells')","('Gregor', 'Gomez')",4,3,6,2,3,1,1.0,3.0,1.0,1.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,Guido,Lassells,Gregor,Gomez,Business 25,2019-07-29,,,,,,,,,,,,
"('Verena', 'Townes')","('Gregor', 'Gomez')",4,3,6,2,4,4,4.0,6.0,1.0,2.0,1.0,1.0,2.0,5.0,6.0,2.0,2.0,1.0,8.0,2.0,6.0,6.0,8.0,8.0,7.0,5.0,8.0,6.0,7.0,8.0,1.0,7.0,8.0,1.0,7.0,8.0,6.0,8.0,8.0,8.0,8.0,8.0,3.0,8.0,7.0,7.0,8.0,8.0,10,Verena,Townes,Gregor,Gomez,Business 25,2019-07-29,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
"('Kylie', 'Cordell')","('Gregor', 'Gomez')",3,2,7,5,4,4,6.0,6.0,2.0,3.0,2.0,3.0,2.0,1.0,4.0,2.0,4.0,2.0,3.0,6.0,2.0,4.0,5.0,7.0,7.0,4.0,8.0,7.0,8.0,8.0,8.0,7.0,5.0,4.0,5.0,3.0,8.0,6.0,8.0,3.0,8.0,6.0,5.0,8.0,8.0,8.0,8.0,7.0,10,Kylie,Cordell,Gregor,Gomez,Business 25,2019-07-29,8.0,6.0,8.0,8.0,8.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0
"('Cornelia', 'Artist')","('Hamzah', 'Melia')",3,5,2,4,1,3,2.0,1.0,5.0,3.0,4.0,3.0,3.0,8.0,1.0,2.0,2.0,1.0,8.0,4.0,2.0,5.0,2.0,5.0,1.0,8.0,6.0,8.0,5.0,1.0,8.0,3.0,8.0,8.0,8.0,5.0,8.0,8.0,8.0,8.0,7.0,8.0,8.0,8.0,8.0,8.0,6.0,8.0,8,Cornelia,Artist,Hamzah,Melia,Business 26,2019-08-12,,,,,,,,,,,,
"('Hanni', 'Katt')","('Hamzah', 'Melia')",6,1,2,1,5,7,5.0,2.0,6.0,2.0,2.0,1.0,5.0,2.0,5.0,3.0,3.0,2.0,5.0,4.0,4.0,8.0,3.0,8.0,4.0,6.0,7.0,7.0,8.0,5.0,3.0,2.0,8.0,5.0,6.0,8.0,8.0,8.0,7.0,8.0,8.0,8.0,6.0,7.0,8.0,8.0,8.0,7.0,8,Hanni,Katt,Hamzah,Melia,Business 26,2019-08-12,,,,,,,,,,,,
"('Eric', 'Spritt')","('Hamzah', 'Melia')",1,4,6,5,1,1,1.0,6.0,4.0,3.0,1.0,6.0,4.0,4.0,4.0,6.0,1.0,4.0,7.0,6.0,5.0,5.0,4.0,4.0,5.0,8.0,7.0,4.0,4.0,5.0,3.0,6.0,4.0,5.0,7.0,8.0,8.0,8.0,2.0,7.0,7.0,8.0,8.0,8.0,1.0,2.0,6.0,7.0,8,Eric,Spritt,Hamzah,Melia,Business 26,2019-08-12,,,,,,,,,,,,
"('Merrill', 'Mckie')","('Hamzah', 'Melia')",7,3,2,4,2,2,2.0,3.0,5.0,7.0,3.0,1.0,4.0,1.0,2.0,3.0,6.0,1.0,4.0,2.0,8.0,8.0,8.0,5.0,7.0,2.0,2.0,8.0,5.0,8.0,7.0,4.0,6.0,6.0,8.0,7.0,8.0,8.0,8.0,2.0,8.0,5.0,8.0,8.0,4.0,8.0,8.0,8.0,8,Merrill,Mckie,Hamzah,Melia,Business 26,2019-08-12,,,,,,,,,,,,
"('Marcela', 'Riding')","('Hamzah', 'Melia')",3,4,3,2,4,3,1.0,3.0,2.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,Marcela,Riding,Hamzah,Melia,Business 26,2019-08-12,,,,,,,,,,,,
"('Lea', 'Normington')","('Hamzah', 'Melia')",2,1,3,4,3,1,4.0,2.0,6.0,4.0,5.0,1.0,2.0,5.0,4.0,1.0,3.0,2.0,6.0,8.0,6.0,8.0,6.0,5.0,5.0,8.0,8.0,6.0,6.0,8.0,8.0,2.0,7.0,8.0,5.0,4.0,7.0,7.0,8.0,7.0,8.0,6.0,8.0,7.0,6.0,8.0,4.0,8.0,8,Lea,Normington,Hamzah,Melia,Business 26,2019-08-12,,,,,,,,,,,,
"('Aguste', 'Tann')","('Hamzah', 'Melia')",4,3,4,4,3,2,4.0,2.0,2.0,3.0,1.0,1.0,1.0,3.0,1.0,5.0,1.0,2.0,6.0,4.0,8.0,4.0,4.0,7.0,8.0,3.0,8.0,8.0,4.0,6.0,6.0,5.0,3.0,8.0,8.0,5.0,8.0,7.0,7.0,6.0,6.0,8.0,8.0,8.0,5.0,8.0,8.0,3.0,8,Aguste,Tann,Hamzah,Melia,Business 26,2019-08-12,,,,,,,,,,,,
"('Anet', 'Satterley')","('Hamzah', 'Melia')",7,1,4,2,2,3,1.0,5.0,3.0,3.0,3.0,3.0,4.0,7.0,4.0,3.0,1.0,4.0,4.0,6.0,8.0,5.0,5.0,8.0,7.0,8.0,2.0,8.0,5.0,3.0,2.0,5.0,6.0,8.0,7.0,6.0,8.0,8.0,8.0,8.0,6.0,8.0,8.0,7.0,8.0,7.0,5.0,7.0,8,Anet,Satterley,Hamzah,Melia,Business 26,2019-08-12,,,,,,,,,,,,
"('Agace', ""O'Shields"")","('Hamzah', 'Melia')",4,2,2,3,1,6,1.0,4.0,4.0,2.0,1.0,5.0,2.0,2.0,3.0,1.0,1.0,6.0,8.0,8.0,6.0,7.0,8.0,7.0,6.0,6.0,8.0,8.0,8.0,3.0,8.0,8.0,3.0,4.0,4.0,2.0,8.0,5.0,3.0,7.0,4.0,2.0,8.0,8.0,8.0,8.0,6.0,8.0,8,Agace,O'Shields,Hamzah,Melia,Business 26,2019-08-12,,,,,,,,,,,,
"('Matteo', 'Yeowell')","('Burhan', 'Milner')",3,5,2,1,3,5,4.0,1.0,1.0,4.0,4.0,4.0,5.0,4.0,6.0,2.0,7.0,3.0,8.0,4.0,6.0,4.0,6.0,5.0,8.0,5.0,8.0,8.0,5.0,7.0,6.0,4.0,8.0,6.0,7.0,5.0,8.0,7.0,8.0,8.0,8.0,8.0,6.0,8.0,6.0,8.0,8.0,8.0,8,Matteo,Yeowell,Burhan,Milner,Business 27,2019-09-16,,,,,,,,,,,,
"('Deck', 'Itzchaki')","('Burhan', 'Milner')",2,3,4,2,4,3,2.0,1.0,2.0,2.0,2.0,3.0,2.0,1.0,2.0,1.0,2.0,6.0,6.0,8.0,4.0,8.0,3.0,6.0,3.0,6.0,3.0,7.0,7.0,4.0,6.0,7.0,7.0,8.0,3.0,3.0,7.0,7.0,8.0,8.0,8.0,8.0,5.0,8.0,8.0,8.0,8.0,8.0,8,Deck,Itzchaki,Burhan,Milner,Business 27,2019-09-16,,,,,,,,,,,,
"('Tarrah', 'Bunny')","('Burhan', 'Milner')",3,6,3,4,3,5,1.0,1.0,3.0,6.0,3.0,2.0,6.0,1.0,4.0,3.0,5.0,3.0,6.0,8.0,6.0,3.0,7.0,8.0,7.0,6.0,6.0,2.0,8.0,4.0,6.0,5.0,5.0,7.0,4.0,2.0,8.0,8.0,8.0,8.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,4.0,8,Tarrah,Bunny,Burhan,Milner,Business 27,2019-09-16,,,,,,,,,,,,
"('Fairlie', 'Cogzell')","('Burhan', 'Milner')",5,2,2,3,3,3,3.0,4.0,4.0,2.0,3.0,3.0,1.0,5.0,4.0,2.0,5.0,5.0,7.0,6.0,6.0,3.0,4.0,4.0,6.0,3.0,6.0,5.0,7.0,8.0,6.0,6.0,6.0,2.0,5.0,4.0,7.0,8.0,8.0,7.0,5.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,8,Fairlie,Cogzell,Burhan,Milner,Business 27,2019-09-16,,,,,,,,,,,,
"('Robinet', 'Renwick')","('Burhan', 'Milner')",3,2,2,3,2,2,1.0,1.0,3.0,2.0,3.0,5.0,2.0,6.0,6.0,3.0,2.0,2.0,6.0,3.0,6.0,7.0,4.0,8.0,6.0,6.0,8.0,7.0,8.0,5.0,7.0,3.0,5.0,5.0,3.0,6.0,5.0,8.0,7.0,8.0,7.0,8.0,8.0,8.0,8.0,6.0,8.0,4.0,8,Robinet,Renwick,Burhan,Milner,Business 27,2019-09-16,,,,,,,,,,,,
"('Boote', 'Moan')","('Burhan', 'Milner')",5,4,3,6,2,4,8.0,4.0,1.0,4.0,4.0,2.0,7.0,3.0,2.0,1.0,1.0,3.0,8.0,4.0,8.0,5.0,5.0,7.0,5.0,7.0,4.0,6.0,8.0,8.0,2.0,4.0,7.0,8.0,6.0,8.0,8.0,8.0,5.0,7.0,6.0,8.0,8.0,8.0,6.0,6.0,7.0,8.0,8,Boote,Moan,Burhan,Milner,Business 27,2019-09-16,,,,,,,,,,,,
"('Vaughn', 'Wallington')","('Burhan', 'Milner')",1,1,2,3,1,4,6.0,2.0,4.0,1.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,4.0,5.0,4.0,7.0,4.0,6.0,4.0,8.0,7.0,5.0,4.0,5.0,2.0,8.0,3.0,4.0,3.0,8.0,3.0,6.0,8.0,8.0,8.0,8.0,7.0,8.0,8.0,8.0,6.0,8.0,8.0,8,Vaughn,Wallington,Burhan,Milner,Business 27,2019-09-16,,,,,,,,,,,,
"('Jim', 'Dwerryhouse')","('Burhan', 'Milner')",5,3,4,3,4,2,1.0,1.0,5.0,2.0,4.0,5.0,1.0,2.0,2.0,2.0,3.0,3.0,5.0,3.0,3.0,7.0,8.0,4.0,7.0,5.0,4.0,7.0,7.0,8.0,3.0,8.0,8.0,7.0,7.0,4.0,8.0,7.0,8.0,8.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,8,Jim,Dwerryhouse,Burhan,Milner,Business 27,2019-09-16,,,,,,,,,,,,
"('Harriett', 'Saffin')","('Burhan', 'Milner')",3,4,3,1,3,5,2.0,3.0,4.0,1.0,4.0,2.0,2.0,7.0,1.0,1.0,7.0,5.0,6.0,4.0,8.0,1.0,7.0,7.0,7.0,7.0,6.0,6.0,4.0,4.0,7.0,6.0,5.0,8.0,8.0,8.0,8.0,5.0,5.0,6.0,8.0,8.0,8.0,8.0,4.0,8.0,8.0,8.0,8,Harriett,Saffin,Burhan,Milner,Business 27,2019-09-16,,,,,,,,,,,,
"('Omero', 'Shill')","('Burhan', 'Milner')",4,5,2,1,4,1,4.0,5.0,3.0,3.0,3.0,3.0,4.0,4.0,2.0,2.0,3.0,3.0,6.0,8.0,5.0,2.0,6.0,8.0,5.0,5.0,3.0,8.0,8.0,7.0,1.0,8.0,4.0,8.0,4.0,8.0,8.0,6.0,5.0,5.0,6.0,8.0,8.0,5.0,8.0,8.0,7.0,8.0,8,Omero,Shill,Burhan,Milner,Business 27,2019-09-16,,,,,,,,,,,,
"('Casey', 'Putten')","('Elly', 'Kelly')",3,1,3,4,6,5,1.0,3.0,2.0,1.0,7.0,1.0,4.0,2.0,3.0,5.0,4.0,6.0,3.0,8.0,5.0,5.0,6.0,8.0,5.0,3.0,5.0,5.0,5.0,8.0,8.0,4.0,1.0,8.0,3.0,3.0,8.0,5.0,6.0,8.0,8.0,8.0,4.0,7.0,8.0,8.0,6.0,8.0,8,Casey,Putten,Elly,Kelly,Business 28,2019-10-21,,,,,,,,,,,,
"('Una', 'Caldicot')","('Elly', 'Kelly')",2,3,5,2,3,4,1.0,2.0,1.0,4.0,1.0,5.0,1.0,1.0,4.0,1.0,5.0,6.0,6.0,4.0,8.0,2.0,6.0,2.0,5.0,8.0,8.0,7.0,7.0,5.0,5.0,4.0,6.0,5.0,2.0,8.0,8.0,8.0,7.0,8.0,5.0,8.0,7.0,5.0,7.0,8.0,7.0,7.0,8,Una,Caldicot,Elly,Kelly,Business 28,2019-10-21,,,,,,,,,,,,
"('Riva', 'Mangeot')","('Elly', 'Kelly')",4,7,2,2,2,3,3.0,1.0,3.0,4.0,2.0,2.0,2.0,4.0,1.0,1.0,2.0,3.0,1.0,3.0,8.0,8.0,3.0,4.0,8.0,3.0,6.0,8.0,8.0,5.0,6.0,5.0,4.0,7.0,8.0,7.0,8.0,8.0,8.0,8.0,4.0,8.0,6.0,8.0,8.0,6.0,6.0,7.0,8,Riva,Mangeot,Elly,Kelly,Business 28,2019-10-21,,,,,,,,,,,,
"('Gery', 'Marchment')","('Elly', 'Kelly')",4,3,4,2,1,1,2.0,4.0,3.0,1.0,1.0,2.0,6.0,1.0,2.0,6.0,2.0,3.0,4.0,7.0,4.0,6.0,2.0,4.0,5.0,8.0,2.0,8.0,5.0,4.0,8.0,5.0,4.0,5.0,5.0,6.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,8,Gery,Marchment,Elly,Kelly,Business 28,2019-10-21,,,,,,,,,,,,
"('Brendan', 'Tithecott')","('Elly', 'Kelly')",3,4,4,3,2,1,2.0,6.0,1.0,6.0,5.0,3.0,4.0,5.0,1.0,2.0,5.0,4.0,4.0,8.0,6.0,5.0,3.0,4.0,6.0,3.0,5.0,7.0,5.0,4.0,7.0,5.0,7.0,5.0,8.0,4.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,5.0,8.0,4.0,8.0,6.0,8,Brendan,Tithecott,Elly,Kelly,Business 28,2019-10-21,,,,,,,,,,,,
"('Dorice', 'Slides')","('Elly', 'Kelly')",5,2,3,3,4,2,3.0,1.0,1.0,1.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,Dorice,Slides,Elly,Kelly,Business 28,2019-10-21,,,,,,,,,,,,
"('Kalinda', 'Leebetter')","('Elly', 'Kelly')",2,1,2,4,8,1,3.0,3.0,2.0,6.0,1.0,1.0,5.0,4.0,1.0,5.0,2.0,3.0,8.0,7.0,5.0,8.0,8.0,4.0,4.0,5.0,8.0,6.0,1.0,5.0,6.0,3.0,8.0,5.0,5.0,3.0,8.0,4.0,7.0,5.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,6.0,8,Kalinda,Leebetter,Elly,Kelly,Business 28,2019-10-21,,,,,,,,,,,,
"('Fifi', 'Kingsly')","('Elly', 'Kelly')",3,2,5,3,3,1,5.0,4.0,2.0,2.0,2.0,2.0,6.0,1.0,7.0,4.0,6.0,1.0,8.0,2.0,8.0,8.0,5.0,5.0,3.0,8.0,5.0,6.0,8.0,2.0,2.0,8.0,8.0,7.0,6.0,7.0,8.0,3.0,8.0,7.0,8.0,8.0,8.0,8.0,5.0,7.0,8.0,3.0,8,Fifi,Kingsly,Elly,Kelly,Business 28,2019-10-21,,,,,,,,,,,,
"('Zollie', 'Danks')","('Elly', 'Kelly')",1,3,1,3,5,5,2.0,5.0,1.0,1.0,2.0,2.0,5.0,1.0,1.0,1.0,4.0,1.0,8.0,4.0,3.0,6.0,6.0,5.0,5.0,4.0,5.0,7.0,7.0,8.0,7.0,8.0,7.0,7.0,4.0,7.0,4.0,8.0,8.0,8.0,8.0,6.0,4.0,8.0,8.0,6.0,7.0,8.0,8,Zollie,Danks,Elly,Kelly,Business 28,2019-10-21,,,,,,,,,,,,
"('Katleen', 'Trunks')","('Elly', 'Kelly')",2,3,5,4,5,3,2.0,4.0,3.0,4.0,4.0,2.0,6.0,3.0,3.0,3.0,1.0,4.0,7.0,8.0,6.0,6.0,5.0,5.0,7.0,6.0,8.0,7.0,3.0,8.0,8.0,7.0,8.0,8.0,6.0,3.0,8.0,8.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8,Katleen,Trunks,Elly,Kelly,Business 28,2019-10-21,,,,,,,,,,,,
"('Heida', 'Cossom')","('Elly', 'Kelly')",1,3,2,6,1,2,1.0,3.0,3.0,5.0,5.0,2.0,4.0,3.0,1.0,3.0,3.0,1.0,2.0,5.0,2.0,8.0,3.0,2.0,3.0,8.0,8.0,5.0,8.0,4.0,4.0,5.0,8.0,8.0,6.0,7.0,7.0,5.0,8.0,8.0,7.0,8.0,4.0,8.0,8.0,8.0,7.0,8.0,8,Heida,Cossom,Elly,Kelly,Business 28,2019-10-21,,,,,,,,,,,,
"('Nicola', 'Lavall')","('Elly', 'Kelly')",1,3,4,2,2,7,7.0,6.0,3.0,8.0,3.0,2.0,4.0,5.0,2.0,1.0,3.0,2.0,4.0,2.0,7.0,3.0,2.0,7.0,5.0,8.0,3.0,5.0,4.0,3.0,5.0,8.0,7.0,5.0,8.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,4.0,4.0,6.0,8,Nicola,Lavall,Elly,Kelly,Business 28,2019-10-21,,,,,,,,,,,,
"('Rossie', 'Caitlin')","('Bruce', 'Lugo')",1,3,2,2,3,3,3.0,4.0,3.0,5.0,2.0,3.0,2.0,2.0,1.0,6.0,2.0,1.0,6.0,6.0,7.0,5.0,7.0,7.0,8.0,3.0,8.0,4.0,6.0,4.0,6.0,8.0,3.0,4.0,7.0,7.0,7.0,8.0,6.0,5.0,8.0,7.0,6.0,8.0,8.0,8.0,8.0,5.0,10,Rossie,Caitlin,Bruce,Lugo,Business 29,2019-11-18,8.0,2.0,6.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
"('Marmaduke', 'Kiefer')","('Bruce', 'Lugo')",4,4,3,4,5,7,4.0,1.0,2.0,2.0,2.0,3.0,1.0,4.0,5.0,1.0,3.0,2.0,8.0,1.0,8.0,3.0,8.0,5.0,8.0,6.0,5.0,8.0,6.0,5.0,7.0,2.0,5.0,8.0,7.0,8.0,8.0,5.0,7.0,8.0,8.0,8.0,8.0,8.0,6.0,7.0,8.0,8.0,10,Marmaduke,Kiefer,Bruce,Lugo,Business 29,2019-11-18,8.0,7.0,6.0,8.0,8.0,8.0,8.0,8.0,8.0,6.0,8.0,8.0
"('Dina', 'Mcgookin')","('Bruce', 'Lugo')",2,3,2,4,1,5,4.0,3.0,7.0,4.0,3.0,3.0,1.0,4.0,8.0,3.0,3.0,1.0,8.0,4.0,3.0,7.0,7.0,4.0,3.0,5.0,7.0,5.0,8.0,8.0,6.0,7.0,8.0,3.0,8.0,8.0,8.0,8.0,7.0,5.0,8.0,8.0,8.0,8.0,6.0,8.0,8.0,8.0,10,Dina,Mcgookin,Bruce,Lugo,Business 29,2019-11-18,8.0,8.0,8.0,7.0,8.0,3.0,8.0,8.0,8.0,8.0,8.0,8.0
"('Reuven', 'Kneaphsey')","('Bruce', 'Lugo')",3,3,3,5,2,6,5.0,2.0,4.0,1.0,5.0,4.0,1.0,3.0,1.0,1.0,3.0,3.0,7.0,8.0,2.0,4.0,6.0,2.0,4.0,7.0,8.0,2.0,5.0,5.0,4.0,6.0,8.0,6.0,2.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,8.0,6.0,8.0,8.0,8.0,4.0,10,Reuven,Kneaphsey,Bruce,Lugo,Business 29,2019-11-18,6.0,6.0,8.0,8.0,6.0,8.0,8.0,8.0,8.0,8.0,6.0,7.0
"('Stephi', 'Duckering')","('Bruce', 'Lugo')",3,2,2,3,2,1,4.0,4.0,1.0,1.0,3.0,5.0,3.0,3.0,2.0,3.0,2.0,1.0,4.0,8.0,3.0,5.0,3.0,5.0,4.0,4.0,5.0,8.0,7.0,6.0,2.0,5.0,5.0,8.0,6.0,7.0,3.0,8.0,4.0,7.0,6.0,7.0,7.0,5.0,7.0,8.0,7.0,8.0,10,Stephi,Duckering,Bruce,Lugo,Business 29,2019-11-18,8.0,8.0,7.0,8.0,7.0,7.0,6.0,8.0,8.0,8.0,8.0,6.0
